Date	HomeTeam	AwayTeam	ClubElo_HomeWinProb	ClubElo_DrawProb	ClubElo_AwayWinProb
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-02			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-03			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-04			0.0	0.0	0.0
2026-05-05			0.0	0.0	0.0
2026-05-06			0.0	0.0	0.0
